"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 21 11:37:30 UTC 2026","Wed Jan 21 11:37:47 UTC 2026","17216","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Wed Jan 21 11:37:04 UTC 2026","Wed Jan 21 11:37:05 UTC 2026","1665","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Wed Jan 21 11:37:02 UTC 2026","Wed Jan 21 11:37:04 UTC 2026","1664","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Wed Jan 21 11:36:54 UTC 2026","Wed Jan 21 11:36:57 UTC 2026","2953","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Jan 21 11:37:29 UTC 2026","Wed Jan 21 11:37:30 UTC 2026","395","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Wed Jan 21 11:37:12 UTC 2026","Wed Jan 21 11:37:28 UTC 2026","15926","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Wed Jan 21 11:37:10 UTC 2026","Wed Jan 21 11:37:12 UTC 2026","1403","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Wed Jan 21 11:36:59 UTC 2026","Wed Jan 21 11:37:00 UTC 2026","1400","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Wed Jan 21 11:37:07 UTC 2026","Wed Jan 21 11:37:08 UTC 2026","230","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Wed Jan 21 11:37:50 UTC 2026","Wed Jan 21 11:37:51 UTC 2026","1147","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Wed Jan 21 11:37:49 UTC 2026","Wed Jan 21 11:37:50 UTC 2026","1345","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Wed Jan 21 11:37:30 UTC 2026","Wed Jan 21 11:37:30 UTC 2026","211","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Wed Jan 21 11:37:05 UTC 2026","Wed Jan 21 11:37:07 UTC 2026","2026","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Wed Jan 21 11:37:00 UTC 2026","Wed Jan 21 11:37:02 UTC 2026","1664","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"passed","Wed Jan 21 11:37:08 UTC 2026","Wed Jan 21 11:37:10 UTC 2026","2649","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Wed Jan 21 11:36:57 UTC 2026","Wed Jan 21 11:36:59 UTC 2026","2253","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
